Name,Cap Rate,Vacancy Rate,Home Value to Rent Ratio,Rent as % of Income,Shadow Inventory %,Migration Total,Housing Unit Growth Rate,Building Permits,Vote Republican %,Vote Democrat %,Rental Rate,Rent For Houses,Home Value Growth (MoM),For Sale Inventory,Sale Inventory Growth (YoY),Inventory Surplus/Deficit,Price Cut %,Days on Market,Days on Market Growth (YoY),Inventory as % of Houses,Median Listing Price,Median Listing Price (YoY),New Listing Count,New Listing Count (YoY),Sale Inventory Growth (MoM),Population,Median Household Income,Population Growth,Income Growth,Remote Work %,Home Value,Home Value Growth (YoY),Home Value Growth (5-Year),Overvalued %,Value / Income Ratio,Mortgage Payment,Salary to Afford a House,Mtg Payment as % of Income,Property Tax Rate,Buy v Rent Differential,% Change from June 2022,% Crash from 2007-12,College Degree Rate,Homeownership Rate,Mortgaged Home %,Median Age,Poverty Rate,Housing Units,Migration % of Population,Rent Growth (YoY),Home Price Forecast,Investor Forecast,Long-Term Growth
"Lake Charles, LA",6.6%,18.7%,11.7,18.4%,3.9%,904,4.1%,"1,095",69.9%,28.5%,"$1,020","$1,275",-0.29%,"1,043",14.5%,22.7%,19.0%,100,-1.4%,1.4%,"$235,000",-1.5%,226,17.7%,-3.6%,"208,983","$66,424",-0.4%,28.8%,4.7%,"$180,082",-4.0%,-13.0%,-26.3%,2.7,"$1,117","$44,718",20.1%,0.4%,9.5%,-13.2%,-,25.2%,73.1%,48%,38.1,16.2%,"100,014",0.4%,0.1%,39,41,49.0
"Lake City, FL",6.7%,10.7%,11.2,29.7%,3.3%,"1,487",5.1%,-,74.7%,24.5%,"$1,536","$1,921",-0.12%,209,28.7%,29.8%,21.1%,77,-12.7%,0.9%,"$344,225",-2.1%,60,15.3%,1.9%,"73,063","$62,028",3.6%,31.7%,7.0%,"$259,781",3.8%,65.5%,21.9%,4.1,"$1,662","$66,516",32.1%,0.6%,8.1%,6.9%,-32.0%,16.7%,75.8%,48%,41.2,15.2%,"30,572",2.0%,4.5%,45,56,44.0
"Lake Havasu City, AZ",5.4%,19.6%,14.1,34.9%,18.2%,"5,033",6.5%,"2,396",77.5%,21.8%,"$1,664","$2,080",-0.02%,"1,281",25.1%,28.0%,22.5%,82,14.7%,1.4%,"$416,338",-2.3%,480,10.6%,-2.6%,"223,682","$57,073",6.7%,13.7%,7.9%,"$352,459",1.1%,48.5%,22.5%,6.1,"$2,184","$87,372",45.9%,0.4%,31.2%,-4.8%,-48.2%,15.6%,75.0%,51%,53.7,16.1%,"122,876",2.2%,3.8%,42,63,43.0
"Lakeland, FL",6.8%,12.9%,10.9,32.8%,10.0%,"29,364",17.7%,"12,524",59.9%,39.2%,"$1,866","$2,333",-0.21%,"4,866",37.2%,71.2%,31.0%,85,16.4%,1.9%,"$340,570",-2.6%,"1,438",13.9%,0.6%,"818,330","$68,247",15.5%,31.6%,13.6%,"$307,352",-1.0%,57.3%,26.0%,4.5,"$1,980","$79,225",34.8%,0.7%,6.1%,-0.1%,-48.7%,26.5%,71.3%,55%,39.5,12.1%,"352,635",3.5%,1.5%,30,70,51.0
"Lancaster, PA",3.8%,3.9%,16.4,20.9%,0.4%,315,3.7%,"1,503",57.4%,41.5%,"$1,428","$1,785",0.42%,390,17.3%,-36.8%,13.3%,50,6.9%,0.2%,"$408,640",-4.9%,264,-8.3%,-9.1%,"558,589","$81,668",2.7%,21.2%,11.4%,"$352,801",4.3%,49.2%,19.9%,4.3,"$2,424","$96,986",35.6%,1.2%,69.7%,13.0%,-7.5%,31.5%,68.9%,58%,39.1,7.5%,"220,296",0.0%,5.1%,58,47,49.0
"Lansing, MI",5.3%,7.3%,12.1,20.6%,0.7%,"1,219",1.9%,819,44.4%,53.7%,"$1,230","$1,538",0.60%,673,27.6%,-12.0%,19.6%,62,8.8%,0.5%,"$214,950",-4.4%,336,12.0%,-7.8%,"541,202","$71,407",-1.6%,20.7%,13.6%,"$224,296",6.0%,43.2%,24.3%,3.1,"$1,592","$63,705",26.7%,1.4%,29.3%,10.8%,-24.9%,37.8%,67.3%,63%,36.3,12.0%,"238,491",0.2%,5.5%,54,45,45.0
"Laramie, WY",3.5%,11.3%,20.2,23.6%,8.7%,11,-2.2%,-,49.9%,46.8%,"$1,203","$1,504",0.95%,64,88.2%,16.0%,8.1%,64,-43.8%,0.7%,"$449,740",-3.5%,22,57.1%,-5.1%,"37,713","$61,078",-1.0%,23.8%,8.9%,"$366,161",5.7%,42.5%,14.6%,5.9,"$2,320","$92,816",45.5%,0.5%,92.8%,10.0%,-,55.5%,49.3%,58%,28.7,19.0%,"18,735",0.0%,11.8%,51,33,35.0
"Laredo, TX",6.3%,7.3%,10.3,26.0%,1.3%,"-1,259",6.1%,"1,278",50.6%,48.5%,"$1,333","$1,666",0.43%,541,24.6%,23.1%,17.6%,74,9.6%,0.9%,"$261,500",6.7%,130,-4.4%,-5.4%,"269,148","$61,408",-2.4%,9.4%,5.7%,"$206,478",-0.3%,22.4%,-3.7%,3.3,"$1,492","$59,709",29.1%,1.6%,11.9%,0.9%,-,22.9%,65.3%,54%,30.5,21.1%,"89,651",-0.4%,1.7%,41,51,45.0
"Las Cruces, NM",5.5%,6.6%,13.3,29.3%,1.7%,"1,391",5.4%,"1,014",44.0%,53.7%,"$1,406","$1,758",0.04%,620,6.6%,-6.5%,13.9%,90,5.8%,1.0%,"$371,625",0.4%,174,-6.4%,-2.5%,"225,210","$57,580",3.5%,33.7%,9.4%,"$282,228",1.8%,58.4%,-2.4%,4.9,"$1,800","$72,012",37.5%,0.6%,27.9%,11.7%,-24.0%,31.8%,66.2%,53%,34.8,19.3%,"93,944",0.6%,2.1%,49,62,42.0
"Las Vegas, NV",4.6%,8.6%,16.0,27.8%,4.0%,"9,097",5.4%,"13,732",47.8%,50.4%,"$1,774","$2,218",0.33%,"7,177",49.3%,10.9%,23.5%,62,5.0%,1.3%,"$467,500",1.6%,"3,138",24.1%,-2.5%,"2,336,573","$76,566",4.7%,23.2%,11.9%,"$428,434",5.4%,48.6%,26.2%,5.5,"$2,678","$107,137",41.9%,0.4%,50.9%,-0.2%,-62.9%,28.7%,57.8%,66%,38.9,11.7%,"963,471",0.3%,2.0%,47,57,49.0
"Lawrence, KS",5.1%,5.6%,13.0,28.0%,0.7%,267,5.9%,281,30.1%,68.2%,"$1,600","$2,000",0.75%,140,-1.0%,-12.0%,9.9%,69,9.0%,0.5%,"$399,450",7.3%,68,36.0%,-19.1%,"120,553","$68,336",-0.7%,6.3%,14.1%,"$312,171",5.6%,49.6%,27.4%,4.5,"$2,142","$85,697",37.6%,1.2%,33.9%,12.2%,0.1%,53.2%,48.8%,65%,32.6,12.7%,"54,095",0.2%,11.0%,50,38,35.0
"Lawton, OK",8.6%,13.3%,8.7,21.7%,1.9%,-888,1.3%,143,62.2%,35.9%,"$1,049","$1,312",0.84%,403,39.7%,-4.7%,15.1%,77,4.7%,1.4%,"$176,325",-13.4%,142,18.3%,-0.1%,"127,049","$57,813",0.5%,12.6%,8.8%,"$137,248",3.4%,41.7%,2.1%,2.3,$898,"$35,943",18.6%,0.8%,-14.3%,8.4%,1.2%,25.6%,58.2%,54%,34.3,17.1%,"55,419",-0.6%,6.7%,50,61,57.0
"Lebanon, PA",4.3%,3.9%,14.6,19.2%,1.6%,476,4.0%,270,65.5%,33.5%,"$1,292","$1,616",0.75%,203,33.5%,-4.8%,15.2%,43,-6.5%,0.4%,"$377,750",2.1%,126,28.5%,1.0%,"144,252","$80,400",2.0%,31.3%,11.3%,"$283,750",5.0%,46.8%,9.1%,3.5,"$1,979","$79,182",29.5%,1.3%,53.1%,13.0%,-2.2%,25.3%,71.0%,55%,41.4,7.1%,"60,368",0.3%,8.8%,55,44,54.0
"Lewisburg, PA",5.6%,11.4%,12.1,22.7%,6.8%,-542,-6.6%,-,61.2%,37.8%,"$1,412","$1,765",0.60%,45,18.6%,-39.0%,13.8%,76,-23.6%,0.4%,"$470,625",0.5%,18,12.5%,8.5%,"42,570","$74,351",-5.6%,25.1%,7.4%,"$257,003",3.1%,35.5%,2.2%,3.4,"$1,762","$70,486",28.4%,1.1%,24.7%,7.4%,-,26.4%,71.4%,54%,40.5,7.4%,"16,158",-1.2%,-,58,-,51.0
"Lewiston, ME",4.4%,5.0%,15.1,25.9%,3.6%,824,1.5%,390,52.0%,45.9%,"$1,400","$1,750",0.32%,73,-25.8%,-49.7%,15.3%,56,-1.3%,0.2%,"$352,450",-9.2%,56,-20.0%,-14.6%,"113,765","$64,672",5.6%,1.3%,12.1%,"$317,404",3.9%,73.8%,42.6%,4.9,"$2,140","$85,625",39.7%,1.0%,52.9%,14.2%,-12.9%,23.3%,65.9%,61%,40.7,12.0%,"50,828",0.7%,8.0%,59,47,47.0
"Lexington, KY",5.3%,6.2%,13.6,24.1%,0.7%,"1,095",5.0%,"2,440",50.0%,47.8%,"$1,440","$1,800",0.43%,910,16.6%,-8.1%,11.9%,73,-7.6%,0.6%,"$398,720",0.9%,358,-7.2%,-10.1%,"516,410","$71,427",0.8%,18.0%,10.6%,"$295,654",4.7%,52.0%,24.1%,4.1,"$1,912","$76,509",32.1%,0.7%,32.8%,13.3%,-6.1%,44.5%,60.9%,65%,37.0,12.6%,"231,683",0.2%,6.5%,52,49,43.0
"Lima, OH",6.8%,6.1%,10.4,19.3%,0.5%,-236,-0.5%,99,71.6%,27.5%,"$1,101","$1,376",0.49%,138,-17.9%,-23.9%,17.8%,59,4.9%,0.4%,"$224,950",71.4%,58,-19.4%,-10.4%,"100,838","$68,228",-1.7%,12.9%,4.6%,"$172,495",5.1%,49.3%,9.7%,2.5,"$1,161","$46,463",20.4%,1.0%,5.4%,11.3%,-17.1%,19.8%,67.9%,54%,40.1,13.2%,"44,922",-0.2%,-,57,-,52.0
"Lincoln, NE",4.1%,3.7%,14.8,20.8%,0.8%,"1,196",6.8%,"2,512",48.1%,49.6%,"$1,259","$1,574",0.42%,668,22.4%,15.3%,8.9%,56,-3.8%,0.7%,"$394,500",1.1%,262,10.0%,-8.6%,"344,352","$72,586",2.9%,17.9%,10.0%,"$281,274",2.9%,40.9%,21.6%,3.8,"$1,983","$79,354",32.7%,1.4%,57.4%,6.3%,-5.2%,41.9%,58.1%,62%,35.1,10.2%,"150,241",0.3%,3.5%,45,44,49.0
"Little Rock, AR",6.3%,10.3%,11.8,21.9%,0.7%,"5,001",5.6%,"2,890",53.8%,43.7%,"$1,234","$1,542",0.40%,"2,263",35.5%,16.3%,19.7%,60,10.1%,1.1%,"$283,725",-4.1%,912,16.9%,-5.3%,"763,662","$67,549",3.0%,18.8%,11.1%,"$219,413",3.5%,36.0%,4.6%,3.2,"$1,401","$56,072",24.9%,0.6%,13.5%,6.0%,-,33.1%,65.1%,61%,38.3,12.5%,"347,138",0.6%,3.2%,46,58,54.0
"Lock Haven, PA",4.9%,18.1%,13.5,17.7%,16.4%,-46,-2.9%,-,69.9%,29.1%,$887,"$1,109",1.11%,58,7.4%,-25.6%,11.7%,77,-17.8%,0.4%,"$232,400",20.1%,24,140.0%,-14.0%,"37,707","$60,018",-3.4%,17.8%,7.4%,"$180,419",3.6%,28.6%,3.9%,3.0,"$1,229","$49,160",24.5%,1.1%,38.4%,2.6%,-,21.2%,71.6%,54%,39.8,13.1%,"18,640",-0.1%,16.4%,53,27,45.0
"Logan, UT",3.7%,3.5%,19.7,20.6%,2.0%,"1,080",12.9%,"1,077",67.8%,28.7%,"$1,495","$1,869",0.33%,362,39.5%,67.0%,20.5%,85,3.6%,1.1%,"$510,000",3.5%,106,15.2%,-6.3%,"157,108","$86,813",11.9%,41.2%,15.1%,"$443,968",0.2%,54.8%,11.4%,5.1,"$2,764","$110,586",38.2%,0.4%,84.8%,-4.3%,-11.3%,41.5%,61.9%,68%,27.4,9.6%,"53,092",0.6%,2.4%,32,65,61.0
"Longview, TX",5.7%,12.4%,12.1,21.3%,1.7%,"2,999",3.1%,551,75.7%,23.4%,"$1,162","$1,452",0.64%,894,19.3%,12.1%,21.7%,91,17.8%,1.1%,"$299,900",0.1%,240,22.4%,-3.9%,"291,615","$65,235",2.3%,16.5%,8.3%,"$211,007",2.0%,29.4%,10.2%,3.2,"$1,434","$57,368",26.3%,1.1%,23.4%,5.9%,5.6%,20.1%,69.3%,49%,38.2,13.5%,"123,071",1.0%,5.2%,46,53,53.0
"Longview, WA",3.4%,4.4%,19.8,22.5%,1.6%,992,4.0%,331,58.2%,38.4%,"$1,362","$1,703",-0.07%,277,26.2%,37.5%,25.1%,87,17.1%,0.8%,"$468,500",-2.2%,74,-9.7%,-10.6%,"112,864","$72,378",3.5%,30.4%,7.3%,"$405,438",2.2%,44.9%,27.6%,5.6,"$2,639","$105,594",43.7%,0.7%,93.7%,0.7%,-,19.4%,68.4%,62%,41.4,12.7%,"46,785",0.8%,4.0%,39,44,48.0
"Los Alamos, NM",4.8%,5.1%,15.1,21.0%,2.6%,136,3.3%,-,33.2%,63.3%,"$2,558","$3,197",0.75%,39,156.6%,138.1%,15.8%,71,10.5%,0.6%,"$749,750",-5.7%,12,-25.0%,-12.5%,"19,374","$146,051",5.5%,20.3%,14.2%,"$582,362",8.1%,55.8%,33.0%,3.9,"$3,690","$147,609",30.3%,0.5%,44.2%,15.7%,-,68.2%,74.5%,66%,41.1,2.6%,"8,660",0.6%,-,31,-,58.0
"Los Angeles, CA",3.1%,5.9%,21.7,37.3%,2.1%,"-101,387",3.3%,"28,530",36.0%,60.7%,"$2,915","$3,644",0.42%,"12,175",32.9%,4.9%,12.5%,64,13.2%,0.5%,"$1,089,500",-0.9%,"8,218",19.3%,-4.0%,"12,799,100","$93,799",-3.7%,20.6%,15.0%,"$949,787",4.2%,44.7%,18.9%,10.1,"$6,094","$243,774",77.9%,0.6%,108.9%,7.1%,-37.5%,38.4%,48.2%,67%,38.9,11.9%,"4,828,892",-0.7%,2.9%,48,35,40.0
"Louisville/Jefferson County, KY",5.9%,7.8%,12.4,23.4%,1.1%,"2,974",4.8%,"6,995",51.2%,46.9%,"$1,376","$1,720",0.67%,"2,598",15.9%,1.2%,22.2%,59,10.2%,0.6%,"$305,950",-0.9%,"1,170",-1.5%,-7.9%,"1,285,666","$70,299",1.9%,14.9%,12.4%,"$256,335",4.0%,39.2%,21.6%,3.6,"$1,669","$66,771",28.4%,0.7%,21.2%,8.6%,-8.0%,32.2%,69.6%,63%,39.5,12.5%,"572,898",0.2%,5.3%,49,52,49.0
"Lubbock, TX",7.0%,10.7%,9.8,27.8%,2.5%,"1,902",9.4%,"2,365",69.6%,29.3%,"$1,353","$1,691",-0.22%,"1,358",5.5%,39.8%,19.7%,61,-3.1%,1.6%,"$250,000",-2.9%,494,10.2%,-3.6%,"331,679","$58,234",3.9%,6.6%,7.4%,"$199,514",-1.4%,33.5%,14.0%,3.4,"$1,402","$56,111",28.9%,1.4%,3.6%,-0.6%,8.1%,30.1%,54.4%,48%,32.6,16.0%,"148,003",0.5%,2.8%,36,50,46.0
"Lufkin, TX",7.7%,14.1%,9.3,27.8%,4.5%,114,0.7%,-,75.6%,23.6%,"$1,345","$1,682",-0.07%,296,18.2%,39.2%,21.4%,82,10.4%,1.3%,"$285,000",0.8%,60,-6.2%,-1.3%,"87,319","$58,001",0.2%,8.7%,5.4%,"$188,255",-0.4%,32.0%,14.1%,3.2,"$1,283","$51,320",26.5%,1.1%,-4.6%,-0.8%,4.1%,15.9%,65.2%,50%,37.6,16.6%,"37,288",0.1%,-,39,-,45.0
"Lynchburg, VA",5.3%,13.0%,14.1,22.2%,4.4%,"2,022",1.9%,"1,404",68.0%,30.5%,"$1,267","$1,584",0.40%,613,19.7%,-16.8%,17.4%,66,11.0%,0.7%,"$327,445",-3.6%,254,-5.9%,-8.2%,"264,267","$68,391",0.2%,18.4%,12.7%,"$269,815",3.7%,51.1%,13.6%,3.9,"$1,691","$67,645",29.6%,0.4%,33.4%,13.4%,-10.3%,31.5%,71.9%,59%,39.5,12.8%,"118,942",0.7%,5.1%,53,51,43.0
"Macomb, IL",5.3%,13.5%,11.0,13.0%,2.5%,13,-5.7%,-,58.5%,39.6%,$560,$700,0.30%,90,34.3%,-37.1%,16.0%,89,7.9%,1.2%,"$98,975",14.7%,14,0.0%,-7.6%,"27,102","$51,442",-12.2%,15.6%,6.4%,"$92,709",3.0%,16.9%,-10.9%,1.8,$710,"$28,411",16.5%,2.1%,26.8%,5.6%,-13.9%,31.8%,62.1%,52%,35.1,17.6%,"13,598",0.0%,-,56,-,46.0
"Macon, GA",7.1%,14.3%,10.4,23.3%,1.4%,"2,377",1.8%,639,50.9%,48.6%,"$1,184","$1,481",0.08%,783,14.5%,21.8%,14.6%,79,10.1%,1.4%,"$231,850",0.8%,284,10.9%,-6.1%,"234,009","$60,945",2.0%,25.8%,10.5%,"$184,893",3.5%,53.4%,14.3%,3.0,"$1,216","$48,650",23.9%,0.8%,2.6%,11.2%,-19.1%,25.0%,59.5%,56%,38.7,17.6%,"104,346",1.0%,3.2%,44,65,51.0
"Madera, CA",6.0%,9.6%,12.3,32.6%,3.8%,"1,863",1.5%,"1,156",59.2%,38.4%,"$2,221","$2,777",0.49%,-,-,-,-,-,-,-,-,-,-,-,-,"162,858","$81,596",3.2%,25.8%,7.4%,"$410,239",3.9%,48.2%,16.4%,5.0,"$2,631","$105,269",38.7%,0.6%,18.4%,3.6%,-40.7%,21.3%,68.9%,66%,35.2,22.1%,"51,776",1.1%,1.3%,-,62,52.0
"Madison, WI",3.6%,3.7%,16.0,24.4%,1.5%,"5,526",9.9%,"5,592",27.6%,70.6%,"$1,705","$2,132",0.46%,686,24.8%,-12.2%,9.7%,73,5.8%,0.3%,"$453,867",-7.8%,418,5.0%,-13.7%,"694,537","$83,774",5.2%,10.8%,16.8%,"$409,515",6.0%,45.8%,29.3%,4.8,"$2,918","$116,730",41.8%,1.5%,71.0%,13.1%,-9.8%,49.1%,58.6%,65%,37.1,9.4%,"319,395",0.7%,5.3%,53,44,48.0
"Manchester, NH",3.6%,4.4%,15.9,22.8%,1.0%,-363,3.8%,"1,021",47.7%,50.6%,"$2,018","$2,523",0.38%,251,12.0%,-39.5%,7.8%,46,5.1%,0.2%,"$578,975",2.4%,208,-8.7%,-14.4%,"427,354","$105,801",2.9%,26.5%,17.4%,"$483,735",6.4%,64.3%,24.8%,4.5,"$3,451","$138,053",39.1%,1.5%,70.9%,15.8%,-24.0%,42.7%,68.1%,67%,41.1,5.4%,"178,687",-0.0%,5.0%,60,54,55.0
"Manhattan, KS",4.9%,10.7%,13.3,22.6%,0.5%,"-1,709",1.2%,275,57.0%,40.6%,"$1,212","$1,515",0.99%,212,-17.0%,-42.1%,9.6%,65,7.5%,0.8%,"$283,700",21.4%,98,-10.9%,-11.6%,"133,105","$64,293",0.7%,8.9%,8.6%,"$243,134",6.3%,32.7%,11.8%,3.7,"$1,688","$67,550",31.5%,1.3%,39.2%,10.3%,-,38.9%,50.9%,58%,27.2,12.9%,"56,886",-1.2%,4.2%,59,40,47.0
"Manitowoc, WI",4.0%,6.4%,15.4,17.3%,2.4%,327,1.5%,-,60.8%,37.5%,"$1,008","$1,260",0.83%,147,39.3%,3.5%,13.2%,57,10.7%,0.5%,"$252,400",4.2%,50,66.6%,-8.9%,"81,331","$69,662",2.8%,14.6%,7.3%,"$234,314",10.1%,60.6%,28.1%,3.3,"$1,623","$64,949",27.9%,1.2%,61.0%,20.3%,-9.9%,19.7%,76.8%,55%,45.9,8.6%,"38,143",0.4%,-,55,-,54.0
"Mankato, MN",5.3%,8.4%,12.9,25.4%,0.9%,152,3.4%,528,49.3%,48.3%,"$1,493","$1,867",0.71%,161,21.5%,-2.2%,11.9%,80,-5.6%,0.6%,"$332,450",-4.9%,34,6.2%,-11.5%,"104,356","$70,396",3.1%,11.5%,10.1%,"$290,118",3.5%,35.3%,19.7%,4.1,"$1,946","$77,855",33.1%,1.0%,30.2%,6.7%,-13.7%,34.3%,63.2%,58%,33.9,11.9%,"43,713",0.1%,8.2%,51,38,44.0
"Mansfield, OH",5.2%,6.8%,12.8,19.0%,1.2%,86,1.1%,157,70.7%,28.4%,$917,"$1,146",0.53%,158,35.7%,-4.1%,24.0%,61,25.7%,0.4%,"$219,900",17.5%,84,10.5%,-2.7%,"125,064","$57,797",3.2%,11.6%,5.0%,"$176,630",7.0%,60.0%,35.3%,3.0,"$1,206","$48,258",25.0%,1.1%,31.5%,14.8%,-26.0%,18.9%,70.2%,52%,41.6,12.5%,"54,791",0.0%,6.0%,53,41,52.0
"Marietta, OH",6.4%,11.0%,11.2,20.9%,2.3%,36,-0.9%,-,71.4%,27.7%,"$1,092","$1,365",0.49%,88,0.0%,-6.3%,20.7%,88,15.0%,0.4%,"$254,450",-2.1%,14,-50.0%,-15.3%,"59,318","$62,582",-2.2%,25.1%,8.0%,"$183,976",3.4%,29.0%,2.3%,2.9,"$1,224","$48,985",23.4%,0.9%,12.0%,1.9%,-9.9%,20.7%,74.8%,48%,44.1,11.8%,"27,979",0.0%,-,49,-,50.0
"Marquette, MI",6.1%,14.7%,11.7,24.0%,16.2%,619,-3.5%,-,44.7%,53.4%,"$1,268","$1,585",0.46%,88,18.9%,-44.1%,13.0%,80,-18.4%,0.3%,"$344,975",5.1%,32,14.2%,-14.9%,"66,999","$63,357",0.7%,14.8%,6.6%,"$223,041",4.8%,50.3%,27.0%,3.5,"$1,484","$59,378",28.1%,0.9%,17.0%,9.9%,5.4%,38.1%,66.5%,52%,39.9,14.2%,"33,693",0.9%,15.8%,60,41,49.0
"McAlester, OK",7.6%,20.5%,10.1,19.3%,9.9%,216,-3.7%,-,78.7%,19.7%,$900,"$1,125",0.48%,219,30.0%,16.7%,10.6%,102,21.5%,1.5%,"$230,625",-3.1%,46,4.5%,-7.6%,"43,629","$55,882",-1.6%,19.4%,7.4%,"$136,424",4.0%,43.8%,13.9%,2.4,$858,"$34,325",18.4%,0.5%,-4.6%,9.8%,-0.0%,19.7%,71.4%,46%,40.3,16.2%,"22,204",0.4%,-,44,-,45.0
"McAllen, TX",5.9%,11.9%,11.0,24.6%,7.1%,"1,834",11.7%,"6,887",50.9%,48.1%,"$1,125","$1,406",0.07%,"2,723",27.9%,50.8%,14.2%,80,10.3%,1.3%,"$270,000",-1.8%,586,1.7%,-2.4%,"898,471","$54,734",3.7%,30.9%,9.3%,"$187,270",2.0%,61.2%,20.9%,3.4,"$1,333","$53,342",29.2%,1.5%,18.4%,13.4%,6.9%,20.6%,66.5%,38%,30.9,25.2%,"314,617",0.2%,0.8%,37,60,52.0
"Medford, OR",4.8%,6.7%,15.1,30.5%,3.3%,-225,2.7%,"1,256",51.6%,45.2%,"$1,863","$2,328",0.21%,659,17.3%,11.4%,21.0%,95,13.1%,1.0%,"$516,346",3.4%,178,-17.5%,-6.9%,"220,768","$73,099",0.5%,29.4%,11.9%,"$423,759",1.6%,31.7%,-0.3%,5.7,"$2,718","$108,732",44.6%,0.6%,45.8%,-3.2%,-42.5%,29.8%,66.6%,61%,42.5,11.7%,"98,858",-0.1%,5.0%,44,52,46.0
"Memphis, TN",7.0%,10.2%,10.7,26.3%,0.9%,"-5,333",1.5%,"4,835",45.6%,52.5%,"$1,434","$1,793",0.13%,"3,833",23.0%,42.7%,23.2%,77,6.2%,1.1%,"$329,500",2.9%,"1,358",17.4%,-5.7%,"1,326,510","$65,305",-1.1%,19.0%,9.2%,"$232,144",0.9%,46.9%,24.0%,3.5,"$1,493","$59,732",27.4%,0.6%,4.0%,1.3%,-21.8%,31.4%,60.7%,62%,37.0,15.4%,"577,423",-0.4%,3.9%,38,52,40.0
"Menomonie, WI",2.9%,7.6%,18.9,16.7%,2.8%,136,2.2%,-,57.3%,41.4%,"$1,021","$1,276",0.30%,54,45.9%,-4.2%,10.2%,64,-3.0%,0.4%,"$321,725",-3.2%,16,0.0%,-3.5%,"45,349","$73,220",1.9%,24.5%,8.8%,"$290,884",5.1%,48.7%,23.8%,3.9,"$2,060","$82,430",33.7%,1.4%,101.7%,9.1%,-,29.2%,66.5%,62%,35.8,9.6%,"18,812",0.2%,4.9%,54,39,53.0
"Merced, CA",5.2%,4.6%,13.9,40.1%,1.3%,67,7.6%,489,50.8%,46.5%,"$1,963","$2,454",0.05%,349,27.1%,-4.5%,17.7%,73,9.0%,0.7%,"$462,500",4.2%,144,-8.8%,-1.1%,"291,920","$58,721",6.2%,-3.9%,6.6%,"$411,637",3.6%,45.0%,35.9%,7.0,"$2,642","$105,698",54.0%,0.6%,34.5%,-0.5%,-66.4%,14.4%,52.5%,62%,32.2,18.2%,"92,342",0.0%,6.5%,48,65,46.0
"Meridian, MS",10.3%,13.2%,7.4,25.6%,1.4%,-473,-6.2%,-,59.5%,39.6%,"$1,063","$1,329",0.83%,129,-13.4%,-38.1%,14.6%,102,35.4%,0.5%,"$159,450",-7.1%,26,-38.1%,-11.6%,"94,806","$49,795",-6.4%,37.4%,4.2%,"$118,225",3.0%,20.2%,-11.5%,2.3,$775,"$31,003",18.6%,0.8%,-27.1%,-3.8%,-,22.4%,70.1%,45%,38.7,21.7%,"45,136",-0.5%,-,55,-,43.0
"Miami, FL",6.0%,12.9%,12.0,41.6%,10.8%,"32,663",5.8%,"19,789",49.0%,50.1%,"$2,703","$3,378",-0.17%,"45,792",40.8%,23.6%,23.8%,79,15.4%,2.8%,"$520,000",-7.8%,"12,604",4.1%,2.1%,"6,183,199","$77,796",-0.2%,29.3%,14.5%,"$486,757",1.8%,63.7%,26.8%,6.2,"$3,185","$127,425",49.1%,0.8%,17.8%,11.9%,-51.9%,37.6%,61.7%,56%,42.3,12.0%,"2,698,630",0.5%,2.0%,43,60,38.0
"Michigan City, IN",5.4%,8.9%,13.5,21.7%,6.2%,-26,2.0%,260,56.2%,42.0%,"$1,162","$1,453",0.52%,212,8.4%,-4.7%,28.4%,66,0.7%,0.5%,"$259,450",3.3%,90,50.0%,-3.8%,"111,706","$64,125",1.5%,14.4%,6.3%,"$235,588",6.4%,53.6%,31.6%,3.6,"$1,526","$61,057",28.5%,0.7%,31.2%,13.1%,-,23.3%,74.2%,59%,41.9,12.4%,"50,199",-0.0%,10.5%,52,44,46.0
"Midland, MI",6.6%,4.0%,10.3,22.5%,3.9%,276,0.3%,104,56.8%,41.6%,"$1,401","$1,751",0.65%,105,16.0%,-27.5%,16.0%,60,4.7%,0.3%,"$272,400",-5.4%,54,8.0%,-11.0%,"84,039","$74,535",0.9%,6.6%,10.9%,"$216,544",5.6%,44.0%,20.9%,2.9,"$1,519","$60,761",24.4%,1.3%,8.4%,11.5%,-16.1%,33.6%,77.3%,56%,43.3,13.1%,"37,259",0.3%,2.4%,58,54,54.0
"Midland, TX",5.3%,3.8%,12.7,20.6%,0.8%,"3,274",19.0%,"1,053",80.0%,19.0%,"$1,630","$2,037",0.68%,464,2.5%,-6.1%,27.3%,58,-10.4%,0.9%,"$408,750",5.0%,212,-10.1%,-5.3%,"182,338","$94,792",2.3%,14.6%,5.2%,"$311,036",4.7%,9.3%,4.3%,3.2,"$2,124","$84,994",26.8%,1.1%,30.3%,7.3%,-,33.6%,66.3%,58%,33.0,11.1%,"75,852",1.7%,3.8%,50,48,61.0
"Milledgeville, GA",5.7%,24.6%,12.7,20.9%,9.1%,258,-2.8%,-,47.4%,52.1%,$987,"$1,234",-0.14%,122,20.9%,-10.2%,9.5%,93,13.0%,1.0%,"$344,950",26.1%,48,41.1%,-3.9%,"52,299","$56,521",-2.8%,35.9%,6.6%,"$188,951",3.1%,48.6%,5.9%,3.3,"$1,223","$48,959",25.9%,0.7%,23.9%,5.7%,-,24.1%,64.2%,47%,36.4,18.5%,"25,125",0.4%,-,51,-,42.0
